 Year ,Company Name,Country,GICS Sub-Industry, Industry (Exiobase) ,Environmental Intensity (Sales),Environmental Intensity (Op Inc), Total Environmental Cost , Working Capacity , Fish Production Capacity , Crop Production Capacity , Meat Production Capacity , Biodiversity , Abiotic Resources , Water production capacity (Drinking water & Irrigation Water) , Wood Production Capacity ,% Imputed
2013,LINCOLN ELECTRIC HLDGS INC,UNITED STATES OF AMERICA,Industrial Machinery," Manufacture of fabricated metal products, except machinery and equipment (28) ",-0.03,-0.23,"-97,357,400","-88,585,753","-19,979","-1,132,993","-263,406","-3,594","-1,062,292","-6,288,532",-852,10%
2012,LINCOLN ELECTRIC HLDGS INC,UNITED STATES OF AMERICA,Industrial Machinery," Manufacture of fabricated metal products, except machinery and equipment (28) ",-0.03,-0.25,"-95,939,769","-88,406,524","-19,931","-1,129,484","-262,528","-3,584","-1,088,755","-5,028,090",-873,11%
2011,LINCOLN ELECTRIC HLDGS INC,UNITED STATES OF AMERICA,Industrial Machinery," Manufacture of fabricated metal products, except machinery and equipment (28) ",-0.04,-0.34,"-103,436,782","-95,838,788","-21,613","-1,225,523","-284,906","-3,887","-1,154,792","-4,906,347",-926,11%
2019,LOWE'S COS INC,UNITED STATES OF AMERICA,Home Improvement Retail,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",-0.09,-0.97,"-6,173,738,641","-715,883,972","-173,521","-9,527,206","-2,232,610","-30,895","-56,090","-5,445,863,581","29,234",1%
2018,LOWE'S COS INC,UNITED STATES OF AMERICA,Home Improvement Retail,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",-0.01,-0.14,"-735,932,770","-719,926,908","-174,331","-9,580,903","-2,245,211","-31,050","-55,438","-3,947,821","28,894",5%
2017,LOWE'S COS INC,UNITED STATES OF AMERICA,Home Improvement Retail,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",-0.01,-0.11,"-732,606,925","-716,674,838","-173,222","-9,537,421","-2,235,055","-30,874","-53,347","-3,929,971","27,804",5%
2016,LOWE'S COS INC,UNITED STATES OF AMERICA,Home Improvement Retail,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",-0.01,-0.14,"-823,144,175","-805,250,521","-192,988","-10,715,138","-2,511,219","-34,506","-50,547","-4,415,600","26,344",4%
2015,LOWE'S COS INC,UNITED STATES OF AMERICA,Home Improvement Retail," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",-0.01,-0.13,"-666,186,319","-651,701,603","-156,867","-8,672,354","-2,032,398","-28,002","-44,790","-3,573,648","23,344",4%
2014,LOWE'S COS INC,UNITED STATES OF AMERICA,Home Improvement Retail," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",-0.01,-0.14,"-684,726,718","-669,844,541","-159,971","-8,912,989","-2,088,922","-28,640","-38,812","-3,673,070","20,228",4%
2013,LOWE'S COS INC,UNITED STATES OF AMERICA,Home Improvement Retail," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",-0.01,-0.16,"-682,059,923","-667,238,448","-158,737","-8,877,926","-2,080,768","-28,460","-35,162","-3,658,747","18,326",3%
2012,LOWE'S COS INC,UNITED STATES OF AMERICA,Home Improvement Retail," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",-0.01,-0.21,"-752,313,407","-735,970,728","-173,875","-9,791,676","-2,295,055","-31,256","-31,843","-4,035,571","16,596",3%
2011,LOWE'S COS INC,UNITED STATES OF AMERICA,Home Improvement Retail," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",-0.02,-0.21,"-752,965,499","-736,603,996","-175,064","-9,800,758","-2,297,075","-31,399","-37,819","-4,039,098","19,711",3%
2010,LOWE'S COS INC,UNITED STATES OF AMERICA,Home Improvement Retail," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",-0.02,-0.20,"-742,900,780","-726,764,579","-171,252","-9,668,911","-2,266,326","-30,815","-28,885","-3,985,067","15,054",3%
2017,LUMEN TECHNOLOGIES INC,UNITED STATES OF AMERICA,Alternative Carriers,Post and telecommunications (64),-0.03,-0.25,"-501,600,697","-490,707,036","-114,814","-6,527,279","-1,530,023","-20,710","-18,039","-2,690,388","7,592",2%
2016,LUMEN TECHNOLOGIES INC,UNITED STATES OF AMERICA,Alternative Carriers,Post and telecommunications (64),-0.04,-0.29,"-682,500,294","-656,743,518","-152,757","-8,735,497","-2,047,737","-27,617","-17,849","-14,782,831","7,512",1%
2015,LUMEN TECHNOLOGIES INC,UNITED STATES OF AMERICA,Alternative Carriers, Post and telecommunications (64) ,-0.04,-0.27,"-700,877,119","-677,804,142","-157,613","-9,015,612","-2,113,405","-28,498","-18,124","-11,747,352","7,628",1%
2014,LUMEN TECHNOLOGIES INC,UNITED STATES OF AMERICA,Alternative Carriers, Post and telecommunications (64) ,-0.04,-0.31,"-757,290,023","-719,609,976","-166,981","-9,571,538","-2,243,761","-30,217","-16,789","-25,657,826","7,066",1%
2013,LUMEN TECHNOLOGIES INC,UNITED STATES OF AMERICA,Alternative Carriers, Post and telecommunications (64) ,-0.04,-0.29,"-761,067,861","-722,160,705","-167,526","-9,605,447","-2,251,715","-30,319","-16,519","-26,842,582","6,953",1%
2012,LUMEN TECHNOLOGIES INC,UNITED STATES OF AMERICA,Alternative Carriers, Post and telecommunications (64) ,-0.04,-0.23,"-652,595,044","-624,330,408","-175,098","-8,425,062","-1,973,150","-29,801","-16,569","-17,745,782","100,827",0%
2011,LUMEN TECHNOLOGIES INC,UNITED STATES OF AMERICA,Alternative Carriers, Post and telecommunications (64) ,-0.04,-0.23,"-563,494,303","-551,259,075","-128,492","-7,332,532","-1,718,831","-23,211","-16,857","-3,022,399","7,095",2%
2010,LUMEN TECHNOLOGIES INC,UNITED STATES OF AMERICA,Alternative Carriers, Post and telecommunications (64) ,-0.06,-0.20,"-430,836,899","-421,486,212","-97,471","-5,606,058","-1,314,209","-17,662","-7,524","-2,310,928","3,167",1%
2018,LYONDELLBASELL INDUSTRIES NV,UNITED STATES OF AMERICA,Commodity Chemicals,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",-0.21,-1.60,"-7,110,563,731","-7,216,253,983","-1,702,063","-94,566,159","-22,094,218","-304,021","-20,823,752","245,055,490","124,974",3%
2017,LYONDELLBASELL INDUSTRIES NV,UNITED STATES OF AMERICA,Commodity Chemicals,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",-0.25,-1.58,"-7,602,009,757","-7,033,815,774","-1,666,143","-92,304,520","-21,561,132","-297,135","-19,042,914","-433,463,745","141,606",3%
2016,LYONDELLBASELL INDUSTRIES NV,UNITED STATES OF AMERICA,Commodity Chemicals," Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c. ",-0.28,-1.60,"-7,338,303,460","-6,690,928,445","-1,584,885","-87,913,897","-20,532,054","-282,535","-16,632,527","-520,558,742","129,625",3%
2015,LYONDELLBASELL INDUSTRIES NV,UNITED STATES OF AMERICA,Commodity Chemicals," Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c. ",-0.26,-1.36,"-7,582,676,811","-6,994,395,672","-1,658,453","-91,841,709","-21,453,511","-295,666","-18,281,237","-454,895,603","145,041",3%
2014,LYONDELLBASELL INDUSTRIES NV,UNITED STATES OF AMERICA,Commodity Chemicals," Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c. ",-0.18,-1.46,"-6,364,271,472","-5,829,161,874","-1,391,817","-76,224,056","-17,799,173","-246,926","-19,354,320","-420,231,413","138,105",3%
2013,LYONDELLBASELL INDUSTRIES NV,UNITED STATES OF AMERICA,Commodity Chemicals," Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c. ",-0.19,-1.67,"-6,418,737,869","-5,731,245,301","-1,383,992","-75,633,202","-17,664,255","-245,079","-11,136,134","-581,617,132","187,225",2%
2012,LYONDELLBASELL INDUSTRIES NV,UNITED STATES OF AMERICA,Commodity Chemicals," Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c. ",-0.19,-1.81,"-6,667,256,485","-6,121,448,339","-1,467,607","-80,108,167","-18,703,161","-259,380","-19,082,018","-426,330,526","142,713",3%
2011,LYONDELLBASELL INDUSTRIES NV,UNITED STATES OF AMERICA,Commodity Chemicals," Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c. ",-0.21,-2.44,"-7,503,610,796","-6,945,043,894","-1,682,846","-91,478,278","-21,379,823","-296,041","-13,502,514","-430,419,858","192,458",2%
2010,LYONDELLBASELL INDUSTRIES NV,UNITED STATES OF AMERICA,Commodity Chemicals," Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c. ",-0.29,-4.04,"-8,990,619,262","-8,445,841,683","-2,048,126","-111,355,781","-26,037,691","-359,608","-13,867,266","-391,324,453","215,345",2%
2016,MACERICH CO,UNITED STATES OF AMERICA,Retail REITs,"Financial intermediation, except insurance and pension funding (65)",-0.05,-0.55,"-52,625,044","-23,899,361","-5,606","-317,778","-74,479","-1,010",-895,"-28,326,333",419,1%
2014,MACERICH CO,UNITED STATES OF AMERICA,Retail REITs," Financial intermediation, except insurance and pension funding (65) ",-0.05,-0.81,"-52,239,907","-38,624,034","-8,967","-513,615","-120,394","-1,622",-852,"-12,970,822",398,1%
2013,MACERICH CO,UNITED STATES OF AMERICA,Retail REITs," Financial intermediation, except insurance and pension funding (65) ",-0.13,-5.74,"-137,949,490","-134,957,007","-30,976","-1,794,822","-420,772","-5,630",-720,"-739,899",337,0%
2011,MACERICH CO,UNITED STATES OF AMERICA,Retail REITs," Financial intermediation, except insurance and pension funding (65) ",-0.21,NA,"-163,482,110","-159,935,854","-36,679","-2,127,037","-498,661","-6,668",-656,"-876,862",307,0%
2010,MACERICH CO,UNITED STATES OF AMERICA,Retail REITs," Financial intermediation, except insurance and pension funding (65) ",-0.23,NA,"-171,418,548","-167,700,195","-38,439","-2,230,308","-522,875","-6,990",-561,"-919,442",263,0%
2019,MACY'S INC,UNITED STATES OF AMERICA,Department Stores,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",-0.01,-0.15,"-178,478,561","-174,591,922","-43,370","-2,324,187","-544,542","-7,653","-19,693","-957,457","10,264",7%
2018,MACY'S INC,UNITED STATES OF AMERICA,Department Stores,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",-0.01,-0.12,"-178,312,320","-174,429,038","-43,389","-2,322,056","-544,037","-7,652","-20,010","-956,567","10,429",7%
2017,MACY'S INC,UNITED STATES OF AMERICA,Department Stores,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",-0.01,-0.14,"-220,356,205","-215,561,537","-52,672","-2,869,027","-672,285","-9,350","-19,309","-1,182,087","10,064",5%
2016,MACY'S INC,UNITED STATES OF AMERICA,Department Stores," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",-0.01,-0.13,"-244,521,258","-239,201,876","-58,207","-3,183,516","-746,003","-10,349","-20,041","-1,311,712","10,445",5%
2019,MARATHON OIL CORP,UNITED STATES OF AMERICA,Oil & Gas Exploration & Production,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.28,-2.39,"-1,421,489,563","-1,335,476,792","-533,691","-18,867,069","-4,296,628","-82,587","-402,496","-62,560,992","730,692",1%
2018,MARATHON OIL CORP,UNITED STATES OF AMERICA,Oil & Gas Exploration & Production,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.14,-0.68,"-825,957,418","-770,935,119","-456,592","-11,565,425","-2,574,507","-65,210","-475,299","-40,778,705","893,438",1%
2017,MARATHON OIL CORP,UNITED STATES OF AMERICA,Oil & Gas Exploration & Production,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.11,NA,"-491,282,425","-426,266,576","-339,406","-7,031,061","-1,449,978","-46,502","-349,563","-56,586,812","787,473",1%
2016,MARATHON OIL CORP,UNITED STATES OF AMERICA,Oil & Gas Exploration & Production,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.08,NA,"-345,989,237","-319,982,426","-304,240","-5,163,761","-1,077,119","-38,141","-320,898","-19,764,933","662,282",3%
2015,MARATHON OIL CORP,UNITED STATES OF AMERICA,Oil & Gas Exploration & Production," Extraction of crude petroleum and services related to crude oil extraction, excluding surveying ",-0.24,NA,"-1,326,238,291","-1,273,275,051","-413,833","-22,828,190","-3,165,367","-68,261","-430,072","-26,773,779","716,260",24%
2010,MARATHON OIL CORP,UNITED STATES OF AMERICA,Oil & Gas Exploration & Production," Extraction of crude petroleum and services related to crude oil extraction, excluding surveying ",-0.02,-0.28,"-1,228,104,527","-1,197,498,932","-364,012","-15,303,340","-3,462,480","-59,768","-5,627,334","-6,091,930","303,269",13%
2019,MARATHON PETROLEUM CORP,UNITED STATES OF AMERICA,Oil & Gas Refining & Marketing,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",-0.12,-2.54,"-15,291,844,471","-14,136,113,889","-3,374,105","-184,577,307","-42,930,094","-600,840","-20,583,727","-904,125,389","460,881",6%
2018,MARATHON PETROLEUM CORP,UNITED STATES OF AMERICA,Oil & Gas Refining & Marketing,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",-0.15,-2.74,"-14,833,086,050","-13,710,027,448","-3,323,159","-180,041,495","-41,888,960","-588,934","-16,033,886","-881,771,963","589,796",4%
2017,MARATHON PETROLEUM CORP,UNITED STATES OF AMERICA,Oil & Gas Refining & Marketing,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",-0.15,-2.76,"-10,387,530,028","-9,010,230,921","-2,277,819","-118,556,382","-27,520,886","-396,581","-11,158,038","-1,218,032,802","643,401",4%
2016,MARATHON PETROLEUM CORP,UNITED STATES OF AMERICA,Oil & Gas Refining & Marketing," Extraction of natural gas and services related to natural gas extraction, excluding surveying ",-0.14,-3.09,"-7,623,467,227","-6,328,082,789","-1,671,688","-83,263,755","-19,270,560","-285,908","-9,290,046","-1,182,258,875","656,394",4%
2015,MARATHON PETROLEUM CORP,UNITED STATES OF AMERICA,Oil & Gas Refining & Marketing," Extraction of natural gas and services related to natural gas extraction, excluding surveying ",-0.13,-1.79,"-8,350,398,862","-7,080,179,369","-1,833,774","-92,999,840","-21,540,168","-315,895","-10,441,017","-1,143,717,515","628,716",5%
2014,MARATHON PETROLEUM CORP,UNITED STATES OF AMERICA,Oil & Gas Refining & Marketing," Extraction of natural gas and services related to natural gas extraction, excluding surveying ",-0.08,-2.15,"-7,288,888,391","-7,121,883,489","-1,816,133","-92,809,101","-21,470,932","-313,668","-13,376,311","-37,757,939","539,183",7%
2019,MARRIOTT INTL INC,UNITED STATES OF AMERICA,"Hotels, Resorts & Cruise Lines",Other service activities (93),-0.49,-1.37,"-2,645,822,893","-2,103,581,102","-481,563","-27,973,381","-6,556,539","-87,602","-5,167","-507,139,125","1,586",0%
2018,MARRIOTT INTL INC,UNITED STATES OF AMERICA,"Hotels, Resorts & Cruise Lines",Other service activities (93),-0.43,-0.88,"-2,224,118,889","-1,705,410,349","-390,492","-22,677,949","-5,315,091","-71,028","-5,015","-490,250,506","1,540",0%
2017,MARRIOTT INTL INC,UNITED STATES OF AMERICA,"Hotels, Resorts & Cruise Lines",Other service activities (93),-0.48,-0.99,"-2,480,350,819","-1,982,423,590","-453,833","-26,362,187","-6,178,879","-82,557","-4,933","-464,846,355","1,514",0%
2016,MARRIOTT INTL INC,UNITED STATES OF AMERICA,"Hotels, Resorts & Cruise Lines",Other service activities (93),-0.74,-1.50,"-2,625,264,902","-2,111,210,263","-483,135","-28,076,061","-6,581,212","-87,903","-3,391","-478,823,979","1,041",0%
2015,MARRIOTT INTL INC,UNITED STATES OF AMERICA,"Hotels, Resorts & Cruise Lines", Other service activities (93) ,-0.43,-0.92,"-1,236,213,913","-1,209,403,674","-276,837","-16,082,808","-3,769,658","-50,362","-2,705","-6,628,699",830,0%
2014,MARRIOTT INTL INC,UNITED STATES OF AMERICA,"Hotels, Resorts & Cruise Lines", Other service activities (93) ,-0.56,-1.33,"-1,547,130,889","-1,165,169,094","-266,689","-15,494,730","-3,631,897","-48,518","-2,374","-362,518,316",729,0%
2013,MARRIOTT INTL INC,UNITED STATES OF AMERICA,"Hotels, Resorts & Cruise Lines", Other service activities (93) ,-0.50,-1.24,"-1,236,970,405","-1,071,961,556","-245,333","-14,255,392","-3,341,480","-44,634","-1,949","-147,120,659",598,0%
2012,MARRIOTT INTL INC,UNITED STATES OF AMERICA,"Hotels, Resorts & Cruise Lines", Other service activities (93) ,-0.49,-1.14,"-1,184,133,122","-1,096,681,681","-250,986","-14,584,162","-3,418,560","-45,663","-1,948","-69,150,720",598,0%
2011,MARRIOTT INTL INC,UNITED STATES OF AMERICA,"Hotels, Resorts & Cruise Lines", Other service activities (93) ,-0.27,-1.10,"-940,562,073","-864,762,661","-198,070","-11,498,861","-2,694,797","-36,022","-3,200","-61,369,444",982,0%
2010,MARRIOTT INTL INC,UNITED STATES OF AMERICA,"Hotels, Resorts & Cruise Lines", Other service activities (93) ,-0.22,-0.92,"-745,564,865","-728,826,891","-166,967","-9,691,081","-2,271,027","-30,363","-3,025","-4,576,440",929,0%
2016,MARSH & MCLENNAN COS,UNITED STATES OF AMERICA,Insurance Brokers,"Insurance and pension funding, except compulsory social security (66)",0.00,-0.01,"-24,573,391","-24,033,724","-7,198","-320,001","-74,850","-1,190","-9,904","-131,575","5,052",19%
2015,MARSH & MCLENNAN COS,UNITED STATES OF AMERICA,Insurance Brokers," Insurance and pension funding, except compulsory social security (66) ",0.00,-0.01,"-28,680,549","-28,052,002","-8,065","-373,432","-87,382","-1,352","-9,600","-153,613","4,897",16%
2014,MARSH & MCLENNAN COS,UNITED STATES OF AMERICA,Insurance Brokers," Insurance and pension funding, except compulsory social security (66) ",0.00,-0.01,"-29,890,002","-29,235,701","-8,214","-389,149","-91,079","-1,387","-8,890","-160,117","4,535",15%
2012,MARSH & MCLENNAN COS,UNITED STATES OF AMERICA,Insurance Brokers," Insurance and pension funding, except compulsory social security (66) ",0.00,-0.02,"-27,900,155","-27,289,791","-7,570","-363,227","-85,022","-1,284","-7,736","-149,471","3,946",14%
2011,MARSH & MCLENNAN COS,UNITED STATES OF AMERICA,Insurance Brokers," Insurance and pension funding, except compulsory social security (66) ",0.00,-0.02,"-27,164,844","-26,569,828","-7,559","-353,684","-82,769","-1,271","-8,628","-145,506","4,401",16%
2010,MARSH & MCLENNAN COS,UNITED STATES OF AMERICA,Insurance Brokers," Insurance and pension funding, except compulsory social security (66) ",0.00,-0.02,"-32,179,681","-31,476,466","-8,535","-418,910","-98,076","-1,459","-7,777","-172,426","3,967",13%
2018,MASCO CORP,UNITED STATES OF AMERICA,Building Products,Construction (45),0.00,-0.01,"-13,369,146","-9,045,713","-1,951","-125,291","-27,234",-366,-773,"-4,167,859",41,5%
2017,MASCO CORP,UNITED STATES OF AMERICA,Building Products,Construction (45),0.00,-0.01,"-11,966,979","-9,875,678","-2,151","-135,903","-29,905",-401,-707,"-1,922,272",38,6%
2016,MASCO CORP,UNITED STATES OF AMERICA,Building Products,Construction (45),0.00,-0.01,"-12,391,188","-10,353,718","-2,264","-142,089","-31,429",-422,-681,"-1,860,622",36,5%
2015,MASCO CORP,UNITED STATES OF AMERICA,Building Products, Construction (45) ,-0.01,-0.10,"-96,428,683","-92,257,272","-20,999","-1,231,189","-286,847","-3,831",-651,"-2,627,930",35,1%
2012,MASCO CORP,UNITED STATES OF AMERICA,Building Products, Construction (45) ,-0.02,-0.31,"-121,778,690","-119,134,987","-27,149","-1,588,506","-370,682","-4,950",-628,"-651,821",34,0%
2011,MASCO CORP,UNITED STATES OF AMERICA,Building Products, Construction (45) ,-0.02,-0.46,"-154,574,058","-151,218,636","-34,470","-2,015,882","-470,590","-6,284",-733,"-827,503",39,0%
2010,MASCO CORP,UNITED STATES OF AMERICA,Building Products, Construction (45) ,-0.02,-0.82,"-176,757,703","-162,197,475","-37,972","-2,182,658","-503,258","-6,868",-684,"-11,833,120","4,331",0%
2017,MASTERCARD INC,UNITED STATES OF AMERICA,Data Processing & Outsourced Services,Computer and related activities (72),0.00,0.00,"-24,832,923","-21,282,745","-6,839","-281,035","-64,612","-1,108","-15,510","-3,187,254","6,180",24%
2016,MASTERCARD INC,UNITED STATES OF AMERICA,Data Processing & Outsourced Services, Computer and related activities (72) ,0.00,0.00,"-28,984,558","-26,424,644","-7,743","-349,699","-80,885","-1,291","-13,374","-2,112,251","5,329",19%
2011,MATTEL INC,UNITED STATES OF AMERICA,Leisure Products, Manufacture of rubber and plastic products (25) ,-0.01,-0.06,"-63,599,321","-61,372,858","-14,337","-841,132","-184,398","-2,578","-23,520","-1,162,988","2,489",7%
2010,MATTEL INC,UNITED STATES OF AMERICA,Leisure Products, Manufacture of rubber and plastic products (25) ,-0.01,-0.07,"-61,053,940","-59,278,565","-13,949","-807,088","-179,161","-2,499","-21,675","-753,297","2,293",7%
2019,MAXIM INTEGRATED PRODUCTS,UNITED STATES OF AMERICA,Semiconductors,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.02,-0.05,"-38,353,380","-33,002,663","-8,437","-426,371","-98,715","-1,450","-373,717","-4,444,549","2,522",15%
2017,MAXIM INTEGRATED PRODUCTS,UNITED STATES OF AMERICA,Semiconductors,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.02,-0.05,"-37,386,551","-32,634,106","-8,346","-421,571","-97,599","-1,434","-370,695","-3,855,302","2,502",16%
2019,MCCORMICK & CO INC,UNITED STATES OF AMERICA,Packaged Foods & Meats,Processing of Food products nec,-0.01,-0.05,"-47,385,447","-39,011,096","-9,064","-512,891","-119,988","-1,635","-20,435","-7,710,755",416,2%
2018,MCCORMICK & CO INC,UNITED STATES OF AMERICA,Packaged Foods & Meats,Processing of Food products nec,-0.01,-0.04,"-37,223,150","-29,631,425","-10,082","-410,155","-91,075","-1,597","-20,670","-7,068,430","10,283",24%
2017,MCCORMICK & CO INC,UNITED STATES OF AMERICA,Packaged Foods & Meats,Processing of Food products nec,-0.01,-0.05,"-39,724,920","-33,849,516","-8,121","-442,609","-103,677","-1,419","-18,473","-5,301,342",237,4%
2016,MCCORMICK & CO INC,UNITED STATES OF AMERICA,Packaged Foods & Meats, Processing of Food products nec ,-0.01,-0.05,"-33,591,330","-28,835,003","-6,643","-378,303","-88,467","-1,201","-16,858","-4,264,969",113,3%
2014,MCCORMICK & CO INC,UNITED STATES OF AMERICA,Packaged Foods & Meats, Processing of Food products nec ,-0.01,-0.06,"-35,656,508","-30,867,073","-7,701","-405,134","-94,902","-1,327","-14,845","-4,266,571","1,045",2%
2013,MCCORMICK & CO INC,UNITED STATES OF AMERICA,Packaged Foods & Meats, Processing of Food products nec ,-0.01,-0.04,"-23,772,204","-21,109,603","-6,941","-291,027","-64,978","-1,111","-13,220","-2,291,900","6,577",24%
2019,MCDONALD'S CORP,UNITED STATES OF AMERICA,Restaurants,Other service activities (93),-0.01,-0.02,"-210,876,708","-206,327,814","-49,152","-2,730,223","-633,250","-8,776","-20,270","-1,113,446","6,223",7%
2017,MCDONALD'S CORP,UNITED STATES OF AMERICA,Restaurants,Other service activities (93),-0.01,-0.03,"-285,931,082","-279,756,325","-66,107","-3,705,650","-861,370","-11,848","-21,947","-1,514,574","6,738",6%
2016,MCDONALD'S CORP,UNITED STATES OF AMERICA,Restaurants,Other service activities (93),-0.03,-0.08,"-616,383,211","-603,043,061","-140,206","-8,004,069","-1,868,538","-25,319","-23,680","-3,285,609","7,270",3%
2015,MCDONALD'S CORP,UNITED STATES OF AMERICA,Restaurants, Other service activities (93) ,-0.03,-0.10,"-698,765,406","-683,638,861","-158,675","-9,075,699","-2,119,647","-28,677","-24,069","-3,727,167","7,390",3%
2014,MCDONALD'S CORP,UNITED STATES OF AMERICA,Restaurants, Other service activities (93) ,-0.02,-0.08,"-613,528,791","-600,250,657","-139,576","-7,966,873","-1,859,789","-25,204","-23,764","-3,270,224","7,296",3%
2013,MCDONALD'S CORP,UNITED STATES OF AMERICA,Restaurants, Other service activities (93) ,-0.02,-0.07,"-579,035,618","-566,503,434","-131,685","-7,519,270","-1,755,453","-23,783","-21,975","-3,086,764","6,747",3%
2012,MCDONALD'S CORP,UNITED STATES OF AMERICA,Restaurants, Other service activities (93) ,-0.02,-0.07,"-596,679,523","-583,765,027","-135,662","-7,748,630","-1,809,121","-24,504","-22,287","-3,181,134","6,843",3%
2010,MCKESSON CORP,UNITED STATES OF AMERICA,Health Care Distributors," Wholesale trade and commission trade, except of motor vehicles and motorcycles (51) ",0.00,-0.02,"-45,133,746","-41,938,292","-13,246","-496,364","-116,916","-1,846","-83,836","-2,484,957","1,711",10%
2010,MDC HOLDINGS INC,UNITED STATES OF AMERICA,Homebuilding, Construction (45) ,-0.06,NA,"-53,744,747","-52,578,701","-12,011","-699,836","-163,836","-2,187",-86,"-288,095",5,0%
2014,MDU RESOURCES GROUP INC,UNITED STATES OF AMERICA,Construction & Engineering, Production of electricity nec ,-0.15,-1.54,"-717,913,725","-670,657,186","-287,964","-7,871,884","-1,844,797","-36,441","-619,949","-36,799,058","203,555",9%
2013,MDU RESOURCES GROUP INC,UNITED STATES OF AMERICA,Construction & Engineering, Production of electricity nec ,-0.16,-1.47,"-731,402,865","-589,057,350","-259,958","-7,142,647","-1,685,906","-32,549","-355,569","-133,054,907","186,020",6%
2012,MDU RESOURCES GROUP INC,UNITED STATES OF AMERICA,Construction & Engineering, Production of electricity nec ,-0.19,-1.88,"-772,323,440","-646,040,144","-271,074","-7,840,766","-1,839,313","-35,424","-463,760","-116,039,337","206,378",7%
2011,MDU RESOURCES GROUP INC,UNITED STATES OF AMERICA,Construction & Engineering, Production of electricity nec ,-0.46,-4.60,"-1,870,128,408","-617,776,281","-280,951","-7,657,720","-1,804,877","-35,850","-330,403","-1,242,485,363","243,037",3%
2010,MDU RESOURCES GROUP INC,UNITED STATES OF AMERICA,Construction & Engineering, Production of electricity nec ,-0.47,-4.17,"-1,822,601,771","-601,683,411","-288,928","-7,474,723","-1,763,367","-36,300","-319,602","-1,211,306,321","270,882",3%
2019,MERCK & CO,UNITED STATES OF AMERICA,Pharmaceuticals,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",-0.01,-0.03,"-415,236,952","-378,598,349","-86,445","-4,829,640","-1,127,861","-15,493","-137,217","-30,437,321","-4,625",7%
2018,MERCK & CO,UNITED STATES OF AMERICA,Pharmaceuticals,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",-0.01,-0.05,"-417,856,159","-384,307,360","-89,230","-4,931,707","-1,151,908","-15,928","-123,900","-27,236,487",362,6%
2017,MERCK & CO,UNITED STATES OF AMERICA,Pharmaceuticals,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",-0.01,-0.05,"-436,842,597","-397,807,882","-92,155","-5,119,434","-1,196,231","-16,477","-117,537","-32,492,772",-108,5%
2016,MERCK & CO,UNITED STATES OF AMERICA,Pharmaceuticals,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",-0.01,-0.05,"-485,823,537","-435,075,982","-100,473","-5,617,304","-1,312,397","-18,008","-116,614","-43,582,177",-582,5%
2015,MERCK & CO,UNITED STATES OF AMERICA,Pharmaceuticals," Manufacture of medical, precision and optical instruments, watches and clocks (33) ",-0.01,-0.06,"-514,707,255","-458,478,083","-106,350","-5,934,279","-1,386,627","-19,042","-113,950","-48,669,863",939,4%
2014,MERCK & CO,UNITED STATES OF AMERICA,Pharmaceuticals," Manufacture of medical, precision and optical instruments, watches and clocks (33) ",-0.01,-0.06,"-583,894,984","-524,771,254","-122,262","-6,824,006","-1,594,521","-21,891","-111,613","-50,452,813","3,376",4%
